max_depth,min_leaf_sample,gini_train,gini_test,entropy_train,entropy_test
1,1,0.864164,0.864583,0.864164,0.864583
1,2,0.864164,0.864583,0.864164,0.864583
1,4,0.864164,0.864583,0.864164,0.864583
1,8,0.864164,0.864583,0.864164,0.864583
1,16,0.864164,0.864583,0.864164,0.864583
1,32,0.864164,0.864583,0.864164,0.864583
1,64,0.864164,0.864583,0.864164,0.864583
1,128,0.864164,0.864583,0.864164,0.864583
1,256,0.864164,0.864583,0.864164,0.864583
2,1,0.886506,0.8875,0.864164,0.864583
2,2,0.886506,0.8875,0.864164,0.864583
2,4,0.886506,0.8875,0.864164,0.864583
2,8,0.886506,0.8875,0.864164,0.864583
2,16,0.886506,0.8875,0.864164,0.864583
2,32,0.886506,0.8875,0.864164,0.864583
2,64,0.886506,0.8875,0.864164,0.864583
2,128,0.886506,0.8875,0.864164,0.864583
2,256,0.864164,0.864583,0.864164,0.864583
3,1,0.893655,0.879167,0.888293,0.877083
3,2,0.893655,0.879167,0.888293,0.877083
3,4,0.893655,0.879167,0.888293,0.877083
3,8,0.893655,0.879167,0.888293,0.877083
3,16,0.893655,0.879167,0.888293,0.877083
3,32,0.893655,0.879167,0.888293,0.877083
3,64,0.893655,0.879167,0.888293,0.877083
3,128,0.886506,0.8875,0.888293,0.877083
3,256,0.864164,0.864583,0.864164,0.864583
4,1,0.90706,0.904167,0.899017,0.86875
4,2,0.90706,0.904167,0.899017,0.86875
4,4,0.90706,0.904167,0.898123,0.86875
4,8,0.90706,0.904167,0.898123,0.86875
4,16,0.90706,0.904167,0.898123,0.86875
4,32,0.898123,0.8875,0.898123,0.86875
4,64,0.898123,0.8875,0.898123,0.86875
4,128,0.886506,0.8875,0.890974,0.877083
4,256,0.864164,0.864583,0.864164,0.864583
5,1,0.932976,0.891667,0.913315,0.879167
5,2,0.932976,0.891667,0.913315,0.879167
5,4,0.932976,0.891667,0.912422,0.879167
5,8,0.932082,0.891667,0.907954,0.877083
5,16,0.925827,0.889583,0.907954,0.877083
5,32,0.902592,0.883333,0.905273,0.864583
5,64,0.900804,0.8875,0.903485,0.8625
5,128,0.886506,0.8875,0.890974,0.877083
5,256,0.864164,0.864583,0.864164,0.864583
6,1,0.946381,0.879167,0.930295,0.852083
6,2,0.946381,0.879167,0.930295,0.852083
6,4,0.946381,0.879167,0.929401,0.852083
6,8,0.9437,0.879167,0.924039,0.852083
6,16,0.931189,0.883333,0.917784,0.85
6,32,0.90706,0.872917,0.912422,0.839583
6,64,0.904379,0.877083,0.903485,0.847917
6,128,0.887399,0.8875,0.890974,0.877083
6,256,0.865058,0.864583,0.864164,0.864583
7,1,0.964254,0.879167,0.947274,0.872917
7,2,0.964254,0.879167,0.947274,0.872917
7,4,0.96336,0.877083,0.945487,0.872917
7,8,0.955317,0.879167,0.937444,0.858333
7,16,0.934763,0.88125,0.921358,0.852083
7,32,0.910634,0.870833,0.913315,0.841667
7,64,0.90706,0.875,0.904379,0.85
7,128,0.887399,0.8875,0.890974,0.877083
7,256,0.865058,0.864583,0.864164,0.864583
8,1,0.970509,0.883333,0.964254,0.885417
8,2,0.970509,0.883333,0.964254,0.885417
8,4,0.968722,0.88125,0.962466,0.885417
8,8,0.956211,0.88125,0.95353,0.870833
8,16,0.935657,0.883333,0.93387,0.858333
8,32,0.911528,0.872917,0.925827,0.847917
8,64,0.907954,0.877083,0.904379,0.85
8,128,0.887399,0.8875,0.890974,0.877083
8,256,0.865058,0.864583,0.864164,0.864583
9,1,0.977659,0.885417,0.976765,0.891667
9,2,0.977659,0.885417,0.976765,0.891667
9,4,0.974978,0.883333,0.974084,0.891667
9,8,0.962466,0.883333,0.962466,0.877083
9,16,0.938338,0.885417,0.938338,0.870833
9,32,0.914209,0.877083,0.925827,0.847917
9,64,0.908847,0.877083,0.904379,0.85
9,128,0.887399,0.8875,0.890974,0.877083
9,256,0.865058,0.864583,0.864164,0.864583
10,1,0.982127,0.885417,0.985702,0.89375
10,2,0.982127,0.885417,0.985702,0.89375
10,4,0.979446,0.883333,0.983021,0.89375
10,8,0.964254,0.88125,0.969616,0.879167
10,16,0.938338,0.885417,0.940125,0.875
10,32,0.914209,0.877083,0.925827,0.847917
10,64,0.908847,0.877083,0.904379,0.85
10,128,0.887399,0.8875,0.890974,0.877083
10,256,0.865058,0.864583,0.864164,0.864583
11,1,0.983914,0.88125,0.991957,0.883333
11,2,0.983914,0.88125,0.991957,0.883333
11,4,0.981233,0.879167,0.989276,0.883333
11,8,0.964254,0.88125,0.972297,0.86875
11,16,0.938338,0.885417,0.941912,0.870833
11,32,0.914209,0.877083,0.925827,0.847917
11,64,0.908847,0.877083,0.904379,0.85
11,128,0.887399,0.8875,0.890974,0.877083
11,256,0.865058,0.864583,0.864164,0.864583
12,1,0.985702,0.864583,1,0.89375
12,2,0.985702,0.864583,1,0.89375
12,4,0.981233,0.864583,0.994638,0.889583
12,8,0.964254,0.866667,0.974084,0.866667
12,16,0.938338,0.870833,0.942806,0.870833
12,32,0.914209,0.8625,0.925827,0.847917
12,64,0.908847,0.877083,0.904379,0.85
12,128,0.887399,0.8875,0.890974,0.877083
12,256,0.865058,0.864583,0.864164,0.864583
13,1,0.992851,0.860417,1,0.89375
13,2,0.992851,0.860417,1,0.89375
13,4,0.988382,0.860417,0.994638,0.889583
13,8,0.971403,0.8625,0.974084,0.866667
13,16,0.945487,0.866667,0.942806,0.870833
